1,2,3
1.00E+03,1.46E+03,0.00E+00
1.05E+03,1.01E+03,0.00E+00
1.09E+03,8.54E+02,0.00E+00
1.14E+03,2.56E+03,0.00E+00
1.18E+03,4.62E+03,0.00E+00
1.23E+03,4.97E+03,0.00E+00
1.27E+03,2.39E+03,0.00E+00
1.32E+03,1.01E+02,0.00E+00
1.36E+03,7.29E+02,0.00E+00
1.41E+03,4.22E+03,0.00E+00
1.45E+03,4.30E+03,0.00E+00
1.50E+03,4.52E+02,0.00E+00
1.54E+03,2.76E+02,0.00E+00
1.59E+03,2.24E+03,0.00E+00
1.63E+03,2.76E+03,0.00E+00
1.68E+03,2.96E+03,0.00E+00
1.72E+03,3.99E+03,0.00E+00
1.77E+03,8.79E+02,0.00E+00
1.81E+03,3.42E+03,0.00E+00
1.86E+03,1.48E+03,0.00E+00
1.90E+03,1.28E+03,0.00E+00
1.95E+03,4.02E+02,0.00E+00
1.99E+03,1.11E+03,0.00E+00
2.04E+03,2.36E+03,0.00E+00
2.09E+03,7.79E+02,1.00E+00
2.13E+03,4.07E+03,0.00E+00
2.18E+03,9.55E+02,0.00E+00
2.22E+03,7.04E+02,1.00E+00
2.27E+03,4.85E+03,0.00E+00
2.31E+03,6.78E+02,0.00E+00
2.36E+03,1.18E+03,1.00E+00
2.40E+03,4.15E+03,0.00E+00
2.45E+03,4.87E+03,0.00E+00
2.49E+03,4.45E+03,0.00E+00
2.54E+03,4.42E+03,0.00E+00
2.58E+03,2.44E+03,0.00E+00
2.63E+03,4.37E+03,0.00E+00
2.67E+03,1.83E+03,1.00E+00
2.72E+03,1.73E+03,0.00E+00
2.76E+03,4.32E+03,0.00E+00
2.81E+03,2.71E+03,0.00E+00
2.85E+03,2.69E+03,0.00E+00
2.90E+03,4.75E+03,0.00E+00
2.94E+03,3.52E+02,1.00E+00
2.99E+03,1.41E+03,0.00E+00
3.04E+03,4.77E+02,0.00E+00
3.08E+03,2.86E+03,0.00E+00
3.13E+03,9.80E+02,0.00E+00
3.17E+03,4.65E+03,0.00E+00
3.22E+03,3.12E+03,0.00E+00
3.26E+03,2.46E+03,0.00E+00
3.31E+03,3.09E+03,0.00E+00
3.35E+03,2.99E+03,0.00E+00
3.40E+03,1.33E+03,1.00E+00
