x,y
1.65E+03,4.33E+02
1.69E+03,4.55E+02
1.73E+03,4.72E+02
1.77E+03,4.83E+02
1.81E+03,4.68E+02
1.86E+03,4.82E+02
1.90E+03,5.40E+02
1.94E+03,5.35E+02
1.98E+03,5.58E+02
2.02E+03,5.66E+02
2.06E+03,5.81E+02
2.10E+03,5.96E+02
2.14E+03,5.97E+02
2.18E+03,6.19E+02
2.22E+03,6.17E+02
2.26E+03,6.53E+02
2.30E+03,6.67E+02
2.34E+03,6.71E+02
2.39E+03,6.69E+02
2.43E+03,6.79E+02
2.47E+03,7.07E+02
2.51E+03,7.11E+02
2.55E+03,7.45E+02
2.59E+03,7.30E+02
2.63E+03,7.44E+02
2.67E+03,7.38E+02
2.71E+03,7.73E+02
2.75E+03,7.72E+02
2.79E+03,7.84E+02
2.83E+03,7.76E+02
2.88E+03,8.05E+02
2.92E+03,8.33E+02
2.96E+03,8.26E+02
3.00E+03,8.21E+02
3.04E+03,8.34E+02
3.08E+03,8.33E+02
3.12E+03,8.26E+02
3.16E+03,8.44E+02
3.20E+03,8.69E+02
3.24E+03,8.52E+02
3.28E+03,8.63E+02
3.32E+03,8.53E+02
3.37E+03,8.77E+02
3.41E+03,8.64E+02
3.45E+03,8.75E+02
3.49E+03,8.78E+02
3.53E+03,8.74E+02
3.57E+03,8.83E+02
3.61E+03,9.11E+02
3.65E+03,8.97E+02
